,baseMean,log2FoldChange,lfcSE,pvalue,padj
FBgn0002036,466.5838626,0.00434337,0.055232658,0.894546005,0.967300071
FBgn0002044,3901.531342,0.012569645,0.056176702,0.739580663,0.901430065
FBgn0002069,4050.730506,0.022690252,0.037211161,0.481142902,0.777726024
FBgn0002121,3317.252736,-0.154778933,0.173703443,0.020034642,0.191761976
FBgn0002174,558.017133,-0.027157839,0.076635732,0.283983364,0.635056457
FBgn0002183,5972.24221,-0.066442108,0.063011522,0.110883299,0.426237579
FBgn0002283,1033.439173,-0.057652957,0.075032248,0.174446779,0.521269448
FBgn0002284,2537.00151,-0.028185321,0.056101326,0.452370554,0.75958594
FBgn0002306,283.7199677,0.475676503,0.191197334,0.000455333,0.015742985
FBgn0002354,141.1591527,-0.014656927,0.066909014,0.648543467,0.860456438
FBgn0002413,6498.898447,-0.00951398,0.059830433,0.843583868,0.947417712
FBgn0002431,9046.889819,-0.019550807,0.059832499,0.612504472,0.843832142
FBgn0002440,0.150857583,-0.00113855,0.074776064,0.676618219,NA
FBgn0002441,2548.85912,-0.003710314,0.057340861,0.919238868,0.974179172
FBgn0002466,2834.363688,0.001572352,0.066544051,0.978682594,0.993232721
FBgn0002521,2744.461926,-0.005024795,0.06234861,0.88744765,0.963576805
FBgn0002522,20.27917491,-0.062258768,0.114775991,0.008159334,0.113136386
